分类 (Category),中文描述 (Description),提示词 (Prompt)
NSFW,NSFW,NSFW
二次元,白毛,"red eyes
write hairs
girl
simle
open legs"
二次元,beauty mark,beauty mark
二次元,少女与异形,"masterpiece, best quality, sky, on the ocean, in the ocean, comic, ojousama, "
二次元,太空,"ahoge,blue_hair/blue_eyes,standing,hand on own face,space,light smile,upper body,from side,"
二次元,少女前线,girls' frontline
二次元,李素裳,"masterpiece, best quality,highly detailed,,"
二次元,114514l,"masterpiece, best quality,highly detailed,,top-down bottom-up,long_hair,black_hair/black_eyes,tongue out,no_bra,thong leotard,highres,mature female,,from above,full body,dynamic angle ,starry sky,ruins,extremely detailed CG unity 8k wallpaper,photo (medium) ,solo,knife and sword,long_hair,black hair,looking afar,standing,arm up,serious,eyes visible through hair,collared shirt,pants,pantyhose,leather shoes,elbow_gloves,hair flower,flat_chest,cinematiclighting,"
二次元,123,"between legs,miniskirt,pantyhose,blunt_bangs,"
二次元,明日方舟水月,"{best quality}, 1boyasterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1boy,Deep blue cap, holding transparent umbrella, Short blue hair,black tights,arknights,Off shoulder transparent raincoat,Pink eyes,comic,cute, shota, Black shorts,Black rain boots,Black belt,:>,Black gloves,Blue fingertip,{an extremely delicate and beautiful}"
二次元,2,"masterpiece, best quality,highly detailed,,top-down bottom-up,long_hair,black_hair/black_eyes,tongue out,no_bra,thong leotard,highres,mature female,,from above,full body,dynamic angle ,starry sky,ruins,extremely detailed CG unity 8k wallpaper,photo (medium) ,solo,knife and sword,long_hair,black hair,looking afar,standing,arm up,serious,eyes visible through hair,collared shirt,pants,pantyhose,leather shoes,elbow_gloves,hair flower,flat_chest,cinematiclighting,,"
二次元,测试,"cinematic angle,{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,,bright pupils,{{full body}}, dynamic pose,dynamic angle,looking at viewer,detailed clothes,,full body,battlefield,ruins,comic,solo,which,short_hair,short_hair,green_hair/green_eyes,standing,sad,frown,wind coat,"
二次元,JK女孩,"pink hair, loli, school uniform, long hair, glasses, hair ribbon, white stocking, at school"
二次元,水手服正太,"serafuku,shorts,kneehighs,leather shoes,"
二次元,少女,Xiao Qingyi Single ponytail cheongsam black
二次元,无,"messy_hair,short_hair,short_ponytail,white_hair/blue_ey,looking at viewer,walk,pants,casual wear,black stocking,lace-up boots,tiny_chest,poster"
二次元,无,"masterpiece, best quality, solo, loli, kawaii, adorable girl, bishoujo, kemonomimi_mode, light smile, light blush, head tilt,blue eye，"
